,21C2,221E,2240,225D,2266,2289,2329,2396
2023-05-01 03:56:00,55.0,57.0,51.5,56.0,52.0,66.0,44.5,59.0
2023-05-01 03:57:00,55.0,53.5,54.0,53.0,57.5,47.0,45.0,60.0
2023-05-01 03:58:00,55.0,51.5,49.0,56.5,56.5,53.0,45.0,60.0
2023-05-01 03:59:00,55.0,55.0,53.0,55.0,54.5,50.0,46.0,56.0
2023-05-01 04:00:00,55.0,52.5,50.0,53.0,55.5,47.0,44.0,55.0
2023-05-01 04:01:00,55.0,51.5,54.0,53.5,53.0,51.0,44.0,57.0
2023-05-01 04:02:00,55.0,50.5,52.0,53.5,57.0,48.0,44.0,54.5
2023-05-01 04:03:00,56.0,51.0,53.0,54.5,54.0,54.0,45.0,53.0
2023-05-01 04:04:00,55.0,51.0,53.0,50.5,53.0,54.0,45.0,59.0
2023-05-01 04:05:00,59.0,57.0,52.0,51.0,52.0,54.0,44.0,52.0
2023-05-01 04:06:00,56.0,54.0,58.0,51.5,51.5,54.0,45.0,53.5
2023-05-01 04:07:00,56.0,56.0,55.0,53.0,53.5,54.0,45.0,52.5
2023-05-01 04:08:00,56.0,53.0,53.0,53.0,52.5,46.0,47.0,49.0
2023-05-01 04:09:00,59.0,51.0,50.0,52.0,51.5,46.0,45.0,52.5
2023-05-01 04:10:00,59.0,55.0,54.0,55.5,48.0,46.0,45.0,55.0
2023-05-01 04:11:00,57.0,53.0,55.0,52.5,47.0,46.0,47.0,50.0
2023-05-01 04:12:00,56.0,55.0,56.0,51.5,48.0,46.0,45.0,50.0
2023-05-01 04:13:00,59.0,51.0,52.0,51.0,49.0,49.0,46.0,50.0
2023-05-01 04:14:00,57.0,52.0,56.0,50.5,46.0,48.0,45.0,50.0
2023-05-01 04:15:00,56.0,53.5,58.0,53.5,47.0,47.0,46.0,50.0
2023-05-01 04:16:00,58.0,52.0,54.0,55.0,47.0,50.0,46.0,48.0
2023-05-01 04:17:00,57.0,53.0,55.0,55.0,47.0,49.0,47.0,48.0
2023-05-01 04:18:00,56.0,53.5,60.0,54.7,47.0,50.0,47.0,48.0
2023-05-01 04:19:00,56.0,52.5,52.5,56.3,47.0,47.0,47.0,48.0
2023-05-01 04:20:00,60.0,54.5,52.5,55.0,47.0,47.0,47.0,48.0
2023-05-01 04:21:00,56.0,52.5,59.0,53.0,47.0,47.0,47.0,49.0
2023-05-01 04:22:00,56.0,55.0,55.5,51.0,47.0,48.0,47.0,47.0
2023-05-01 04:23:00,58.0,52.5,60.0,55.0,47.0,49.0,47.0,54.0
2023-05-01 04:24:00,56.0,52.5,56.0,61.0,47.0,46.0,47.0,49.5
2023-05-01 04:25:00,57.0,53.5,51.0,57.0,47.0,47.0,47.0,55.5
2023-05-01 04:26:00,56.0,53.0,51.0,57.0,47.0,47.0,47.0,54.5
2023-05-01 04:27:00,56.0,52.0,51.0,55.0,47.0,47.0,47.0,53.7
2023-05-01 04:28:00,59.0,50.0,51.0,58.0,66.0,46.0,47.0,51.0
2023-05-01 04:29:00,59.0,51.5,51.0,60.0,66.0,47.0,47.0,50.7
2023-05-01 04:30:00,56.0,51.5,51.0,57.0,66.0,46.0,47.0,55.0
2023-05-01 04:31:00,56.0,50.5,51.0,57.0,66.0,46.0,47.0,54.0
2023-05-01 04:32:00,56.0,53.0,57.0,58.0,66.0,46.0,47.0,55.0
2023-05-01 04:33:00,56.0,53.0,57.0,59.0,66.0,46.0,47.0,49.0
2023-05-01 04:34:00,56.0,52.0,57.0,53.0,66.0,46.0,47.0,48.0
2023-05-01 04:35:00,56.0,49.0,57.0,57.0,66.0,46.0,47.0,51.0
2023-05-01 04:36:00,56.0,51.0,57.0,60.0,66.0,46.0,47.0,54.0
2023-05-01 04:37:00,56.0,51.7,59.0,62.0,66.0,46.0,47.0,54.0
2023-05-01 04:38:00,56.0,53.3,50.5,61.0,66.0,46.0,47.0,54.0
2023-05-01 04:39:00,56.0,54.0,55.5,61.0,66.0,46.0,47.0,54.0
2023-05-01 04:40:00,56.0,52.0,51.5,54.0,59.0,46.0,47.0,55.0
2023-05-01 04:41:00,56.0,51.7,54.0,57.0,63.0,46.0,47.0,55.0
2023-05-01 04:42:00,56.0,53.3,54.5,58.0,61.0,46.0,47.0,55.0
2023-05-01 04:43:00,56.0,52.7,54.5,58.0,57.0,49.0,47.0,53.0
2023-05-01 04:44:00,56.0,51.3,55.5,54.0,61.0,49.0,47.0,53.0
2023-05-01 04:45:00,56.0,51.0,54.0,57.0,61.0,49.0,47.0,47.0
2023-05-01 04:46:00,56.0,52.3,53.0,61.0,61.0,49.0,47.0,51.0
2023-05-01 04:47:00,56.0,51.0,53.5,54.0,57.0,49.0,47.0,50.5
2023-05-01 04:48:00,56.0,48.5,55.0,57.0,57.0,49.0,47.0,52.0
2023-05-01 04:49:00,56.0,50.0,55.0,54.0,57.0,49.0,46.0,51.0
2023-05-01 04:50:00,56.0,51.0,56.0,55.0,57.0,49.0,46.0,51.5
2023-05-01 04:51:00,56.0,53.0,61.0,54.0,57.0,49.0,46.0,52.5
2023-05-01 04:52:00,56.0,52.5,58.0,52.0,57.0,49.0,46.0,49.0
2023-05-01 04:53:00,56.0,52.5,54.0,56.0,57.0,49.0,46.0,53.0
2023-05-01 04:54:00,56.0,52.5,54.0,56.0,57.0,49.0,46.0,54.0
2023-05-01 04:55:00,56.0,50.5,60.0,53.0,57.0,50.0,46.0,51.0
2023-05-01 04:56:00,56.0,51.0,56.0,53.0,57.0,47.0,46.0,49.0
2023-05-01 04:57:00,56.0,50.7,60.0,55.0,57.0,56.0,46.0,51.0
2023-05-01 04:58:00,56.0,53.7,56.0,57.0,57.0,57.0,46.0,50.0
2023-05-01 04:59:00,56.0,54.7,58.0,51.0,57.0,48.0,46.0,50.0
2023-05-01 05:00:00,56.0,53.0,61.0,52.0,46.0,50.0,46.0,52.0
2023-05-01 05:01:00,56.0,51.7,55.0,51.0,46.0,47.0,46.0,50.0
2023-05-01 05:02:00,56.0,52.3,58.0,53.0,46.0,50.0,46.0,54.5
2023-05-01 05:03:00,56.0,51.0,53.0,58.0,46.0,51.0,46.0,52.5
2023-05-01 05:04:00,45.0,53.0,58.0,58.0,46.0,48.0,46.0,51.0
2023-05-01 05:05:00,45.0,54.5,58.0,50.0,46.0,49.5,46.0,52.0
2023-05-01 05:06:00,45.0,54.0,54.0,53.0,46.0,47.5,46.0,50.0
