,21C2,221E,2240,225D,2266,2289,2329,2396
2023-05-01 04:53:00,57.3,56.0,57.7,55.3,49.7,45.7,46.0,53.0
2023-05-01 04:54:00,57.3,56.5,56.0,55.8,50.2,46.0,45.0,52.3
2023-05-01 04:55:00,56.7,54.0,56.7,56.0,49.2,47.0,48.0,52.0
2023-05-01 04:56:00,57.0,56.5,61.3,55.0,48.8,45.7,47.0,53.7
2023-05-01 04:57:00,58.7,55.0,60.0,55.3,49.8,46.0,46.0,54.8
2023-05-01 04:58:00,58.3,60.5,60.3,57.6,49.8,48.3,46.0,56.7
2023-05-01 04:59:00,58.0,57.7,60.0,55.8,49.4,48.3,48.0,52.2
2023-05-01 05:00:00,58.7,56.3,56.0,56.0,50.2,50.7,51.0,52.0
2023-05-01 05:01:00,57.0,55.5,58.0,55.5,50.0,46.5,47.0,53.7
2023-05-01 05:02:00,57.0,61.0,60.5,54.5,50.8,47.0,45.0,57.5
2023-05-01 05:03:00,59.0,59.5,59.0,56.2,48.7,47.0,45.5,55.0
2023-05-01 05:04:00,57.0,62.5,61.7,57.0,49.7,46.3,44.0,59.0
2023-05-01 05:05:00,50.7,64.0,59.3,57.0,50.0,46.0,44.5,55.0
2023-05-01 05:06:00,56.0,62.0,60.0,57.0,51.0,46.0,45.0,58.0
